B1,B2,B3,B4,B5,B6,B7,Chl-a
1023,1225,1443,1240,125,199,288,12.07
1199,1455,1662,1560,441,301,369,15.98
1237,1462,1656,1494,340,418,476,12.86
1211,1464,1703,1578,395,292,365,16.98
1191,1411,1611,1439,299,410,470,12.74
1068,1252,1475,1324,158,299,375,17.85
1114,1341,1559,1352,146,292,369,9.21
991,1169,1362,1150,123,236,307,17.07
1217,1440,1625,1502,397,461,517,12.77
1305,1581,1830,1685,589,431,483,17.97
1134,1378,1633,1375,507,689,582,7.73
1225,1483,1703,1489,264,402,464,7.2
1277,1519,1693,1530,408,509,552,7.48
1331,1645,1881,1579,695,826,694,6.68
1207,1461,1667,1495,327,398,461,10.74
1044,1236,1455,1282,139,270,346,17.7
1276,1541,1773,1592,406,452,505,9.19
1116,1335,1557,1436,325,234,309,16.98
1229,1483,1747,1570,520,390,453,18.2
1030,1205,1413,1206,125,204,293,17.75
985,1159,1395,1207,113,173,265,17.84
864,1000,1076,930,85,128,201,15.71
983,1123,1343,1116,102,147,237,16.14
1218,1470,1710,1532,437,379,436,15.39
561,639,763,658,94,461,321,11.02
1163,1414,1646,1502,289,266,342,17.13
1230,1513,1750,1628,410,321,385,18.2
1278,1701,1984,1754,808,910,788,7.24
1200,1424,1662,1522,348,323,388,17.35
1283,1572,1800,1681,444,338,401,14.43
1117,1362,1617,1335,442,679,570,5.73
1237,1501,1730,1606,404,333,399,17.68
1044,1212,1427,1280,144,256,334,17.16
1329,1615,1856,1707,475,380,447,12.16
1240,1479,1696,1480,259,425,479,9.82
1114,1357,1596,1315,421,654,548,6.13
843,1043,1211,950,97,326,262,7.12
1243,1501,1732,1630,426,328,402,17.74
1238,1538,1789,1479,567,753,636,6.2
1128,1381,1627,1377,428,626,518,6.06
1150,1404,1654,1358,462,700,586,6.15
1013,1208,1451,1269,127,221,302,17.12
1269,1510,1771,1635,448,362,423,18.55
1224,1425,1610,1484,392,465,514,12.74
1021,1203,1395,1201,124,208,288,18.97
1253,1544,1781,1640,406,335,410,13.11
1140,1381,1609,1423,189,290,361,8.22
1131,1400,1657,1346,455,699,587,6.17
1245,1529,1769,1653,405,315,387,12.75
1087,1317,1566,1355,146,283,361,7.21
1071,1252,1495,1339,145,265,338,16.93
1043,1239,1496,1299,133,232,313,16.84
1279,1562,1814,1670,422,339,414,13.8
1320,1635,1873,1576,678,830,705,5.96
1151,1385,1602,1420,198,299,373,8.32
1157,1387,1633,1486,224,275,353,15.35
1186,1408,1650,1519,401,268,342,17.31
817,1015,1254,916,263,471,387,8.64
1228,1523,1765,1644,405,284,361,14.73
1258,1528,1773,1644,393,307,381,12.85
1248,1513,1747,1613,445,378,434,18.43
1173,1400,1639,1435,250,359,426,17.95
1133,1310,1550,1393,237,342,411,17.22
1320,1620,1869,1572,661,830,704,6.05
865,1063,1262,1002,100,328,261,7.61
1265,1510,1739,1573,388,443,498,9.55
1227,1454,1670,1587,597,367,425,16.84
953,1191,1434,1115,156,407,332,5.86
1165,1394,1618,1426,215,342,407,18.69
1052,1299,1543,1272,378,590,501,6.35
883,1068,1300,971,326,520,436,8.32
1203,1440,1666,1506,225,298,366,12.66
1044,1228,1470,1300,137,237,325,16.46
1319,1634,1880,1592,635,775,660,6.09
1072,1312,1563,1255,315,569,469,6.49
1055,1301,1535,1270,375,601,498,6.32
1182,1424,1682,1543,377,276,350,16.52
1247,1504,1751,1622,507,363,440,15.76
1216,1474,1699,1556,334,345,406,13.96
1227,1474,1724,1595,415,358,428,18.43
1009,1188,1398,1174,119,221,302,16.03
1194,1434,1673,1555,381,271,346,16.24
1079,1288,1528,1353,147,277,346,16.4
1143,1362,1592,1409,202,384,441,17.5
1321,1572,1766,1599,498,588,617,11.25
1140,1397,1625,1436,217,315,387,8.27
1122,1385,1636,1344,461,698,583,6.17
1235,1516,1758,1621,393,302,376,15.56
1252,1485,1708,1495,278,421,475,7.97
1080,1274,1495,1338,180,319,399,16.71
793,866,987,771,65,115,179,15.46
902,1105,1333,1021,328,551,463,8.33
868,1051,1263,976,270,496,407,8.54
1000,1182,1395,1240,137,233,308,18.2
866,1065,1551,1112,95,66,127,4.16
1242,1502,1758,1649,443,345,401,14.84
1210,1468,1719,1587,360,288,356,15.47
1249,1501,1737,1603,490,359,417,16.54
1242,1522,1762,1662,456,327,391,17.13
1038,1217,1439,1236,395,340,412,9.11
1021,1209,1417,1211,119,217,297,15.46
1113,1369,1613,1364,487,674,569,7.83
1236,1489,1713,1592,414,335,407,16.33
1219,1489,1756,1605,390,307,388,15.63
1228,1505,1737,1628,395,302,371,16.16
848,1019,1250,943,251,479,394,8.07
1185,1458,1698,1433,525,699,585,6.5
845,1026,1273,941,264,491,402,7.09
1133,1384,1592,1422,212,317,388,7.27
1143,1379,1587,1435,271,285,365,8.6
1240,1505,1737,1597,430,344,406,17.66
1228,1461,1672,1463,227,395,454,8.8
1031,1205,1442,1277,138,260,340,17.73
1032,1234,1462,1241,118,185,273,12.54
1247,1525,1777,1630,388,304,377,12.78
1215,1446,1682,1586,415,292,367,17.94
894,1090,1308,1034,266,487,401,8.03
872,1070,1304,1027,266,491,410,7.05
1000,1199,1438,1194,106,146,241,12.81
1179,1421,1655,1535,408,332,402,14.44
1199,1418,1615,1459,340,461,496,7.85
1039,1239,1475,1299,136,250,325,17.12
1218,1519,1769,1465,545,744,630,6.29
1185,1433,1650,1442,219,346,413,6.86
1096,1304,1533,1324,138,295,366,8.43
1181,1415,1630,1424,210,349,417,6.59
1203,1455,1692,1516,242,318,390,15.33
1025,1214,1459,1269,125,232,313,18.37
1245,1496,1710,1556,375,430,482,10.16
1287,1517,1699,1535,418,514,558,11.56
1227,1633,1963,1722,773,948,841,8.45
1008,1200,1395,1175,115,199,288,14.67
1072,1318,1557,1266,330,577,481,6.59
1048,1234,1495,1304,136,242,314,16.87
1125,1344,1594,1382,179,276,365,8.74
1176,1385,1558,1418,331,403,470,13.37
1273,1566,1810,1694,440,349,417,15.1
1149,1320,1569,1364,459,368,441,9.17
1195,1489,1730,1446,519,697,596,6.93
1179,1443,1669,1544,373,279,350,16.87
1287,1554,1818,1708,506,362,424,16.37
1164,1375,1543,1405,298,392,457,13.08
1188,1454,1689,1555,351,266,352,16.28
1240,1488,1702,1586,480,352,413,16.12
1078,1274,1533,1357,145,271,341,16.45
1310,1627,1903,1615,683,822,693,6.17
1085,1279,1499,1287,453,373,443,9.51
1212,1467,1708,1604,417,250,329,16.55
1032,1206,1403,1205,391,345,413,8.16
1120,1332,1553,1439,338,221,301,14.02
1168,1409,1609,1446,241,326,396,8.99
1057,1310,1558,1295,389,601,501,6.38
860,1044,1278,965,267,489,405,8.27
1084,1285,1509,1374,261,222,305,16.65
1156,1348,1522,1374,264,378,437,13.22
1205,1458,1682,1497,428,361,431,10.2
1138,1381,1607,1404,192,323,390,16.53
1099,1353,1568,1367,150,278,352,7.66
1053,1243,1476,1302,283,244,324,7.77
1194,1437,1663,1457,255,356,425,18.19
1145,1344,1558,1408,256,357,418,17.36
1207,1476,1719,1614,428,276,347,16.52
834,917,1027,860,124,129,191,15.42
1188,1417,1656,1473,440,361,423,10.41
775,855,1193,787,64,26,34,3.51
1267,1508,1707,1533,405,455,517,9.45
844,1038,1268,988,216,440,363,7.87
786,842,903,762,108,112,167,12.38
1073,1289,1506,1291,134,249,340,9.2
814,996,1240,913,216,449,371,7.12
889,1081,1327,1031,282,501,412,7.1
1269,1513,1751,1637,580,417,467,17.6
1138,1390,1648,1350,459,703,586,6.38
1295,1562,1762,1645,551,402,453,16.72
1140,1391,1647,1357,480,704,592,7.93
1163,1397,1621,1427,215,338,401,17.31
1227,1496,1718,1526,316,403,467,8.16
1175,1409,1643,1522,349,239,322,16.92
1142,1396,1659,1365,490,719,603,8.34
1129,1388,1644,1341,450,703,587,6.7
1258,1574,1813,1518,605,782,660,6.29
1146,1406,1611,1423,219,356,412,6.78
1015,1190,1395,1175,120,216,300,15.43
1127,1394,1647,1341,462,703,593,6.74
893,1128,1610,1175,109,79,162,3.81
1215,1461,1713,1565,388,317,404,17.91
1140,1378,1613,1448,251,282,359,9.36
1173,1440,1682,1380,487,675,574,6.36
1143,1391,1596,1391,170,340,404,14.83
1123,1384,1633,1343,462,680,565,6.57
1014,1218,1453,1246,123,211,296,11.5
967,1137,1372,1157,108,162,248,18.15
1119,1329,1524,1380,233,368,422,16.65
1017,1177,1399,1175,117,201,289,15.45
1222,1499,1754,1608,383,304,377,16.04
1127,1363,1583,1353,153,328,397,14.92
1258,1505,1721,1605,424,352,412,16.15
867,1075,1273,1007,106,328,260,7.14
1111,1326,1553,1357,147,275,344,7.48
1089,1362,1597,1352,447,638,529,6.75
1079,1305,1528,1305,136,276,349,16.84
1153,1369,1584,1476,414,238,317,15.75
1153,1390,1600,1442,280,295,379,8.82
809,977,1169,960,110,331,261,8.78
1082,1326,1575,1294,434,622,523,7.07
1223,1470,1698,1604,476,289,356,18.16
1323,1649,1907,1615,692,850,733,5.87
1259,1525,1756,1548,315,448,496,7.36
925,1058,1288,1069,90,129,212,16.79
1266,1553,1817,1696,456,356,420,16.28
1301,1553,1781,1652,478,426,478,13.09
1186,1419,1654,1484,194,277,352,14.92
917,1077,1286,1063,89,115,187,16.18
1012,1267,1517,1209,239,467,389,6.33
1205,1449,1717,1573,383,309,389,17.69
767,881,997,863,127,526,378,5.06
1264,1499,1680,1535,428,495,543,8.51
1090,1326,1550,1411,199,233,313,18.79
794,966,1224,894,209,430,349,7.18
1126,1362,1580,1445,242,241,324,18.35
1328,1633,1879,1573,669,831,704,5.94
1009,1182,1397,1175,118,204,291,15.21
1153,1384,1609,1463,267,265,352,18.61
1261,1519,1739,1631,523,384,436,16.61
1199,1451,1670,1561,459,296,360,17.43
815,994,1199,958,97,324,257,8.6
1180,1421,1661,1522,361,265,341,16.33
995,1147,1369,1144,120,190,283,18.38
819,944,1398,893,62,28,44,7.12
1139,1359,1596,1383,176,312,381,17.38
911,1138,1383,1081,117,351,283,5.46
1306,1581,1840,1736,531,383,447,16.08
1374,1637,1863,1654,423,549,581,7.24
893,1095,1317,1043,270,484,404,7.87
1123,1345,1570,1356,142,262,340,12.31
1002,1190,1432,1240,120,208,288,17.39
1245,1489,1726,1614,518,369,435,16.6
1019,1185,1398,1183,119,207,290,14.88
1234,1489,1725,1539,374,375,448,9.69
1191,1427,1663,1460,278,378,443,18.22
1116,1362,1570,1422,260,341,407,9.64
1144,1379,1611,1437,150,234,314,15.35
1085,1316,1517,1316,139,285,352,8.92
1243,1494,1737,1617,439,310,371,15.62
812,990,1242,903,230,466,388,7.7
1151,1400,1624,1436,230,319,395,8.34
1131,1383,1621,1342,444,680,565,6.13
1129,1345,1532,1383,247,366,423,12.97
778,850,1219,792,66,26,35,4.84
967,1148,1360,1156,115,184,267,17.14
859,1041,1239,975,101,328,260,5.63
893,1111,1334,1037,99,328,262,5.01
1170,1437,1661,1482,251,359,419,8.48
1141,1379,1606,1414,198,347,410,6.68
1155,1397,1614,1437,225,310,391,7.4
1138,1369,1606,1511,352,215,295,17.4
1027,1196,1414,1264,144,224,309,17.84
1265,1514,1747,1630,523,421,475,13.79
1246,1517,1734,1584,450,423,477,8.25
860,1042,1251,955,265,485,405,8.36
1267,1585,1837,1544,633,794,679,6.1
1254,1525,1776,1656,472,364,425,18.02
970,1113,1332,1128,311,281,356,7.99
1207,1448,1665,1495,324,380,441,10.96
1074,1273,1499,1351,197,267,347,17.17
1043,1310,1542,1285,417,609,506,6.96
1285,1550,1792,1694,497,362,424,15.37
1173,1422,1670,1524,362,273,349,16.61
858,1022,1251,966,198,425,347,7.66
1187,1431,1706,1565,379,299,387,17.94
854,1042,1244,983,101,329,259,6.36
1186,1425,1661,1459,267,375,426,17.29
919,1120,1350,1040,355,550,457,8.64
1019,1199,1401,1189,123,210,300,16.6
1059,1248,1459,1329,205,255,336,18.25
1409,1859,2056,1801,1061,991,857,6.8
1242,1523,1760,1648,410,300,371,14.55
918,1043,1276,1088,216,209,290,14.06
1174,1433,1654,1529,361,267,337,16.44
911,1052,1265,1059,89,118,194,18.01
1271,1488,1673,1513,399,481,534,7.84
958,1126,1362,1157,107,156,254,18.95
1215,1507,1747,1468,540,710,610,6.92
1176,1417,1636,1427,208,342,414,7.62
919,1112,1351,1031,324,549,456,7.98
1203,1461,1707,1577,365,283,361,15.3
1064,1317,1557,1296,382,586,487,6.38
1030,1236,1439,1290,162,276,342,18.25
1130,1389,1644,1340,460,700,590,6.47
1134,1401,1662,1354,460,693,574,6.26
1236,1471,1699,1570,406,352,419,16.55
1066,1243,1462,1305,153,302,376,18.62
1221,1491,1704,1544,371,372,432,9.31
1192,1440,1661,1448,230,356,424,8.13
1218,1471,1713,1599,428,285,359,16.99
1039,1268,1495,1193,228,488,401,6.52
1212,1465,1726,1600,371,275,347,15.59
1141,1395,1654,1353,456,692,577,7.29
1152,1393,1635,1433,219,353,419,12.41
1211,1482,1730,1594,373,285,354,15.65
771,1080,1543,1326,125,594,459,9.21
1020,1228,1464,1234,121,174,265,12.49
1133,1345,1543,1378,241,370,423,17.17
1223,1473,1718,1626,440,262,342,17.14
1258,1532,1793,1654,423,327,399,16.04
1165,1425,1635,1479,290,305,378,7.95
1117,1353,1591,1387,154,271,354,7.57
1264,1542,1793,1659,413,328,408,13.66
1123,1382,1584,1464,305,262,334,16.45
1084,1276,1472,1272,143,282,353,8.71
745,816,1173,748,64,30,44,3.48
1042,1218,1444,1278,145,278,356,18.41
1288,1529,1700,1550,443,535,573,9.51
1156,1388,1614,1482,265,238,329,17.1
1229,1504,1734,1597,375,310,378,17.69
943,1105,1319,1104,100,134,219,18.43
1245,1486,1714,1597,435,332,405,16.36
1045,1251,1511,1330,139,248,322,17.08
1123,1348,1591,1395,183,277,369,8.51
969,1135,1369,1156,108,163,252,18.14
1061,1279,1496,1299,133,227,317,5.66
1251,1498,1743,1623,518,352,424,14.6
1200,1445,1672,1470,252,389,447,7.42
1149,1391,1615,1428,216,351,413,18.23
1206,1442,1639,1475,324,380,446,10.29
999,1187,1386,1185,117,193,276,18.25
1291,1566,1781,1613,475,437,493,9.01
910,1133,1355,1043,93,327,260,6.2
1042,1252,1475,1259,129,224,307,11.58
1199,1442,1689,1555,387,319,388,17.07
1163,1408,1637,1448,228,315,387,8.23
1207,1452,1691,1551,373,353,422,17.78
915,1088,1297,1087,93,126,202,15.92
1294,1548,1766,1658,540,415,469,15.3
1007,1178,1390,1166,117,209,293,14.61
1061,1339,1612,1322,301,518,432,7.19
1216,1464,1672,1488,299,400,458,8.98
929,1061,1284,1068,95,126,207,17.19
1162,1378,1547,1444,383,430,475,12.17
1278,1502,1685,1524,414,512,553,8.19
1007,1196,1453,1251,122,208,291,17.33
1187,1402,1614,1431,260,368,434,13.05
1057,1321,1548,1296,425,609,507,7.03
1009,1178,1436,1245,123,208,289,17.16
1106,1364,1602,1358,473,666,557,7.71
1119,1307,1521,1395,256,311,382,17.19
875,1068,1282,985,282,507,426,8.45
1021,1188,1414,1215,126,213,299,18.67
1198,1445,1667,1502,320,390,449,7.95
1101,1301,1516,1329,148,275,350,13.73
1200,1419,1695,1510,515,376,443,17.83
1197,1456,1665,1467,286,404,465,9.41
1231,1486,1726,1579,408,357,419,18.19
785,956,1176,879,170,389,312,7.47
760,832,1163,758,58,20,20,4.87
1179,1415,1621,1419,194,350,419,12.4
916,1091,1310,1099,91,128,205,17.04
1210,1480,1724,1587,346,290,371,16.67
1255,1504,1740,1618,525,375,436,16.72
1326,1632,1876,1600,703,855,728,5.44
1182,1427,1655,1535,428,293,364,17.59
1171,1393,1617,1419,181,318,390,10.5
1251,1519,1762,1631,459,351,413,16.03
1189,1427,1639,1440,446,363,432,10.17
825,1024,1259,941,248,481,399,8.19
1221,1446,1610,1479,397,463,506,10.79
910,1126,1357,1034,92,327,261,6.03
1257,1523,1770,1649,418,300,377,14.6
1252,1535,1773,1652,421,322,387,15.71
1251,1489,1733,1618,594,363,422,17.77
911,1070,1276,1065,92,121,195,18.65
1129,1391,1624,1358,389,614,506,6.85
1215,1461,1708,1581,384,302,383,18.11
1054,1293,1554,1287,448,619,519,7.66
1302,1619,1860,1577,677,829,711,5.82
1216,1459,1706,1557,378,342,414,17.87
921,1074,1277,1057,91,122,194,15.47
1023,1208,1428,1212,117,207,300,17.39
1271,1536,1751,1547,343,457,510,6.82
1101,1355,1596,1355,476,673,554,8.17
1259,1526,1765,1645,461,356,414,15.78
822,996,1224,928,209,431,353,7.45
1136,1395,1644,1355,498,725,607,8.54
1242,1492,1706,1499,286,436,493,9.46
1240,1489,1728,1551,474,402,463,17.31
1018,1180,1403,1184,368,322,393,8.22
1293,1575,1796,1674,578,426,477,16.04
1165,1400,1654,1506,324,301,382,18.58
770,853,1205,785,65,27,34,5.13
1294,1576,1825,1675,432,347,418,13.74
1104,1325,1540,1353,147,275,348,11.59
1113,1384,1645,1353,450,675,571,6.16
1180,1451,1696,1386,467,661,557,6.8
862,1064,1283,1012,104,330,260,7.89
1131,1362,1568,1413,269,339,411,4.54
1066,1268,1496,1286,129,237,322,9.02
1222,1471,1689,1532,280,333,405,14.9
1282,1563,1802,1688,506,381,437,15.23
1013,1191,1399,1184,118,210,299,15.41
1132,1385,1645,1350,452,677,573,6.34
1117,1372,1624,1340,451,689,574,5.78
1253,1520,1750,1560,375,434,490,8.93
1176,1427,1641,1450,214,335,401,7.19
1234,1483,1722,1608,459,311,371,17.13
1020,1193,1451,1258,124,204,299,18.17
1126,1372,1632,1344,447,686,570,6.2
1204,1437,1674,1482,285,385,438,17.99
1200,1442,1667,1557,444,335,396,11.15
1085,1276,1517,1308,423,346,417,9.31
1163,1415,1652,1512,291,260,337,16.73
1207,1464,1676,1508,338,386,446,10.45
1137,1407,1662,1353,411,624,520,5.56
1186,1425,1651,1424,219,384,444,15.23
1119,1334,1561,1358,162,304,379,7.26
1152,1366,1532,1414,333,403,455,12.95
1113,1338,1566,1352,144,281,365,6.22
1126,1381,1637,1332,449,694,587,7.09
1276,1536,1744,1603,467,434,487,8.82
1121,1362,1563,1384,153,282,350,11.78
1107,1383,1613,1349,460,659,554,6.57
1126,1388,1603,1417,223,307,381,7.92
1027,1280,1513,1268,378,584,484,6.43
1269,1525,1767,1648,459,369,429,14.95
1249,1488,1750,1617,449,330,391,14.78
1007,1175,1395,1210,126,194,283,18.65
1133,1347,1579,1444,322,260,338,16.91
1101,1328,1559,1373,148,267,347,8.22
1308,1566,1791,1676,582,419,469,17.0
663,775,860,755,115,564,452,9.52
1032,1225,1366,1241,359,226,284,16.74
776,1080,1502,1259,106,469,307,10.02
926,1150,1379,1062,102,331,265,5.93
1185,1434,1650,1472,276,367,428,8.48
1243,1494,1689,1529,396,499,532,11.41
946,1091,1316,1097,97,128,212,16.21
1161,1408,1621,1446,265,346,417,8.96
1211,1451,1665,1513,330,374,437,10.89
1216,1451,1647,1572,580,340,400,18.14
1236,1485,1724,1592,406,317,384,17.78
861,1044,1285,962,274,503,415,7.71
1235,1480,1721,1532,466,402,459,10.9
966,1190,1435,1126,154,390,324,5.71
1131,1384,1630,1352,454,682,571,6.28
1058,1297,1539,1296,381,584,490,7.49
1219,1495,1726,1526,320,413,469,8.78
870,1065,1261,1003,102,331,266,7.21
1174,1397,1606,1493,396,324,388,15.46
1164,1387,1633,1441,225,264,352,7.82
860,1048,1250,984,100,328,259,6.32
1056,1236,1446,1304,167,262,329,18.23
748,752,815,674,89,95,121,13.38
1216,1456,1714,1572,371,340,413,13.13
1104,1358,1604,1316,429,682,566,6.08
1278,1536,1763,1648,536,427,483,14.64
1111,1366,1623,1331,463,696,578,7.94
1055,1325,1560,1296,334,536,454,5.99
1259,1542,1739,1584,401,465,510,9.22
1048,1254,1516,1339,141,261,334,17.01
1259,1489,1684,1519,391,521,547,11.39
924,1146,1350,1064,103,340,271,6.44
1263,1489,1667,1515,406,489,532,11.03
1205,1439,1676,1535,368,333,399,17.81
1125,1365,1603,1466,298,210,289,17.4
1211,1467,1708,1587,412,304,373,15.03
1667,2217,2407,2300,1923,1570,1550,5.61
1224,1473,1703,1519,356,353,435,8.99
1253,1498,1715,1533,388,460,519,9.82
1219,1502,1714,1560,388,395,449,8.38
1111,1357,1603,1317,406,638,532,6.28
967,1220,1470,1185,191,453,366,7.42
1003,1182,1424,1237,117,199,278,17.34
1234,1436,1617,1481,391,467,510,11.24
1191,1421,1647,1522,388,304,366,15.64
996,1181,1418,1231,118,196,277,17.75
1095,1341,1573,1379,161,298,371,6.64
1173,1394,1615,1446,454,376,436,9.82
1199,1452,1699,1591,402,253,331,16.58
1221,1482,1703,1495,281,418,472,8.57
1283,1523,1776,1662,630,391,448,18.52
1113,1338,1562,1362,155,301,376,16.92
1153,1363,1525,1392,267,361,429,13.3
1057,1273,1498,1271,127,231,316,10.28
1107,1351,1605,1338,456,651,548,7.8
1180,1411,1625,1499,309,261,340,18.54
1257,1539,1778,1656,439,347,410,17.86
995,1175,1381,1167,115,175,267,18.28
860,1063,1279,1016,104,327,261,8.04
1180,1434,1699,1581,393,242,328,17.02
1119,1322,1529,1400,273,266,336,16.73
1039,1218,1459,1300,137,254,329,18.52
1235,1483,1729,1599,421,340,404,18.08
1037,1297,1537,1271,366,582,490,6.23
1015,1188,1403,1189,115,194,289,15.93
1068,1248,1481,1318,159,298,373,17.9
995,1162,1420,1231,115,192,275,18.3
1203,1464,1707,1586,399,273,346,16.94
759,930,1127,872,162,364,292,8.47
1237,1513,1721,1621,525,359,413,15.47
1050,1265,1522,1347,140,261,340,17.28
1266,1568,1819,1548,654,820,692,5.76
1140,1368,1579,1344,144,309,385,14.66
1269,1560,1812,1508,592,772,653,6.56
1030,1225,1453,1236,124,205,295,11.33
1271,1542,1754,1596,441,421,470,9.22
1097,1311,1527,1367,137,179,255,14.62
1067,1268,1529,1355,147,264,341,16.38
1161,1394,1610,1415,206,338,404,17.55
1257,1499,1743,1639,443,324,390,15.33
1044,1286,1530,1259,416,608,507,8.3
1258,1538,1780,1661,435,305,379,14.93
1294,1568,1821,1715,503,362,430,16.75
1290,1575,1836,1716,514,389,442,16.19
1243,1516,1745,1643,475,364,425,17.64
1123,1363,1585,1395,166,266,348,7.45
866,1067,1285,985,291,516,427,8.31
1264,1560,1823,1509,600,779,660,6.54
1197,1455,1673,1563,462,315,375,17.26
1003,1184,1392,1172,118,201,289,15.58
1235,1494,1740,1552,454,384,451,18.87
1161,1378,1592,1466,373,328,394,15.58
1219,1442,1622,1455,349,444,501,7.9
1134,1356,1568,1454,346,244,322,17.01
1225,1476,1725,1600,437,302,370,16.96
1098,1305,1544,1396,214,250,326,18.94
798,1133,1570,1352,132,615,497,7.08
1205,1445,1680,1560,374,293,372,16.05
1032,1225,1414,1200,120,219,294,15.08
1117,1331,1529,1418,320,251,325,17.03
1108,1332,1563,1339,146,299,376,14.23
1181,1430,1663,1538,430,305,390,17.93
1049,1301,1534,1270,403,588,495,7.09
1194,1448,1682,1551,381,271,350,16.67
1222,1468,1711,1588,405,338,408,18.14
1275,1601,1858,1577,675,841,709,5.97
1200,1446,1691,1565,384,283,356,16.69
1281,1560,1811,1674,419,339,411,13.95
1231,1513,1748,1622,410,306,375,16.4
1144,1357,1592,1458,357,234,309,18.14
1216,1477,1706,1569,337,273,350,16.93
1280,1599,1856,1559,652,808,689,5.96
1157,1390,1622,1477,490,324,390,16.85
1277,1545,1760,1587,395,449,508,9.61
861,1051,1263,972,263,488,402,8.02
1127,1374,1599,1406,210,312,384,8.34
1084,1279,1539,1353,144,272,352,18.94
1218,1470,1673,1507,320,373,438,10.94
1061,1231,1476,1307,141,272,349,17.65
936,1190,1482,1172,140,372,301,7.17
1257,1536,1791,1683,480,353,414,15.81
888,1083,1302,1023,273,488,401,7.45
999,1178,1429,1229,120,199,281,18.22
1270,1550,1815,1677,440,339,405,16.22
1205,1473,1724,1590,364,279,352,15.21
1271,1585,1846,1557,646,794,678,5.94
1045,1225,1444,1295,146,273,356,12.76
1198,1493,1730,1447,529,695,592,6.81
1293,1565,1780,1666,559,410,460,16.69
1047,1215,1454,1287,138,253,328,18.08
1157,1408,1630,1507,303,251,335,16.57
1147,1374,1621,1488,315,217,300,16.95
1210,1456,1681,1476,277,381,442,18.05
1197,1436,1640,1462,278,389,444,5.97
1217,1461,1699,1524,342,339,414,8.78
1122,1359,1577,1376,157,298,367,9.11
898,1101,1328,1047,292,498,418,7.69
1108,1325,1555,1356,446,362,428,9.43
1223,1479,1678,1502,334,409,464,8.31
1194,1440,1681,1480,285,396,455,17.84
1289,1594,1818,1541,630,783,669,6.94
1246,1485,1669,1516,400,470,513,8.1
1248,1496,1710,1542,374,434,489,9.94
1176,1390,1563,1458,483,273,342,17.37
1032,1222,1432,1283,148,273,349,18.64
1344,1790,2101,1858,899,895,779,5.26
1031,1222,1442,1291,152,254,337,17.75
844,1041,1231,968,103,331,260,6.29
1151,1374,1591,1440,273,346,410,8.95
947,1089,1298,1078,94,124,203,16.34
1171,1427,1650,1449,234,333,412,7.86
1209,1458,1710,1566,383,345,414,18.2
1043,1218,1432,1277,143,260,341,17.1
1339,1669,1934,1630,701,856,721,5.88
1129,1362,1566,1413,252,319,396,10.34
812,1095,1515,1247,103,452,284,10.2
1127,1382,1634,1342,459,684,574,6.03
1174,1399,1613,1419,227,351,413,6.83
1084,1304,1529,1316,139,267,347,6.15
1157,1417,1625,1468,291,324,388,9.01
1263,1583,1841,1547,631,783,659,6.31
1279,1516,1713,1566,466,526,566,8.42
1027,1191,1410,1200,123,209,297,18.84
1229,1488,1717,1548,373,374,447,8.85
1185,1473,1683,1418,571,748,630,5.58
1047,1231,1458,1324,185,262,336,17.81
996,1172,1414,1225,117,188,275,18.43
1121,1325,1569,1342,144,302,382,12.65
1105,1342,1574,1370,150,292,372,7.41
1171,1419,1651,1472,424,358,418,9.92
1033,1257,1483,1272,128,220,311,11.46
1249,1531,1766,1652,426,332,399,16.69
826,1023,1251,938,253,470,386,7.17
921,1088,1305,1077,95,128,203,18.81
1061,1314,1557,1306,427,617,511,7.15
1032,1177,1399,1189,386,335,412,8.77
1224,1439,1655,1575,584,339,411,16.57
1071,1327,1566,1312,435,626,525,7.09
887,1087,1311,1036,276,497,407,7.86
1054,1255,1507,1324,141,287,359,16.72
1143,1393,1653,1359,478,715,598,8.03
1128,1397,1661,1363,453,691,583,5.79
1141,1395,1643,1359,488,721,607,8.27
1121,1393,1632,1355,474,689,580,6.38
752,911,1128,858,158,349,278,8.76
845,1038,1243,985,100,330,262,5.83
999,1184,1399,1197,123,203,287,18.12
1104,1342,1558,1347,138,281,354,13.64
1216,1483,1744,1601,360,293,373,15.82
1063,1310,1533,1325,134,231,313,11.8
1224,1486,1740,1626,459,304,373,16.68
1057,1311,1547,1300,434,610,511,7.15
1005,1185,1388,1179,118,210,295,16.44
1117,1344,1569,1427,234,234,319,18.45
1195,1440,1667,1572,453,277,341,17.52
1069,1277,1506,1325,142,284,363,18.16
1685,2233,2414,2304,1926,1560,1537,7.54
1054,1239,1450,1298,147,279,354,17.86
1175,1425,1665,1544,383,268,338,16.8
1192,1448,1641,1488,334,389,444,11.02
958,1116,1335,1122,287,272,348,8.11
1017,1211,1435,1241,124,182,273,12.23
1210,1471,1656,1503,347,396,453,9.91
1204,1442,1676,1556,388,313,373,18.7
1188,1436,1703,1556,382,292,373,17.81
1324,1630,1884,1571,681,834,706,6.68
1156,1397,1625,1508,338,236,308,16.48
1091,1319,1544,1393,214,241,322,18.63
1025,1205,1421,1193,119,213,293,15.27
935,1166,1389,1142,207,448,370,6.29
1131,1400,1657,1346,455,699,587,6.68
1229,1489,1715,1529,329,415,472,7.8
1118,1389,1626,1373,503,686,580,7.56
902,1100,1324,1016,327,552,461,8.12
